title,units,description
CS 112 - Computer Science Foundations 2,4,"Object-oriented programming, focusing on classes, instances, methods, encapsulation, inheritance, overloading, multiple inheritance, and exception handling."
CS 325 - Database Design,4,"Introduction to database design and implementation. Relational model, entity-relationship model and diagrams, converting a model to a schema, elementary Structured Query Language (SQL), normalization."
DATA 111 - Introduction to Programming and Computational Thinking for Data Science,4,"Intertwines three perspectives: inferential thinking, computational thinking, and real-world relevance. Explore real data to understand relationships and patterns while learning critical skills in computer programming and basic statistical inference."
DATA 271 - Data Wrangling and Visualization,4,"Provides an intensive, hands-on introduction to data wrangling, cleaning and visualization using a contemporary programming language. Learn the fundamental skills required to acquire, transform, manipulate, and visualize data in a computing environment that fosters reproducibility. The overall goal is to create actionable data from raw sources and then perform exploratory analysis. These steps will include importing data, viewing data diagnostically, identifying outliers, imputing data, cleaning data, calculating basic statistics and creating informative plots."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
GSP 272 - GIS for Social Science,3,"Introduction to geographic information systems (GIS) for the social sciences. Fundamental theory and application of spatial analysis to relevant issues in business, marketing, sociology, anthropology, criminology, history and more. ArcGIS used primarily, but some data manipulation will require the use of other tools such as Microsoft Excel. Covers the concepts and skills of introductory GIS analysis. Basic principles of cartography will be introduced, as well as other tools to develop impactful data presentation."
GSP 318 - Geospatial Programming I,3,"Introduction to programming for geospatial students. Covers problem decomposition, control structures, simple data structures, testing, and documentation, using the Python programming language and geospatial-oriented examples."
GSP 370 - Intermediate Geographic Information Science (GIS),3,"Data accuracy and quality, standard and advanced geospatial data models, data integration and analysis, constraint analysis, location-allocation analysis, metadata standards and documentation, geospatial ethics, industry applications of geospatial analysis."
GSP 470 - Advanced Geospatial Analysis and Modeling,3,"Analysis of uncertainty, autocorrelation, trend-surfaces, and random processes. Modeling using point-process, generalized linear, generalized additive, and machine learning methods. Selecting appropriate alternative modeling methods including cellular automata, agent-based, neural networks, and stimulation. Validating and characterizing models using Monte Carlo and other methods.
Co-listed with: GSP 570. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 418 - Geospatial Programming II,3,"Creating enterprise-level geospatial infrastructures for analysis, monitoring, and modeling. Web and mobile development of geospatial applications. Use of enterprise-level databases, object-oriented programming and design methods, and professional software development processes."
GSP 480 - Selected Topics in Geospatial Science,1-3,"Selected topics in geospatial science; GIS, remote sensing, cartography, mobile mapping, web-based applications, databases, programming. May require additional prerequisites."
