title,units,description
SP 210 - Minding the Gaps - Interdisciplinary Communication,3,"Through discussions, debates, and presentations, learn interdisciplinary approaches to critically evaluate, integrate and communicate ideas and knowledge across academic disciplines. Includes intensive practice in oral communication, critical listening, and the use of digital media and technology."
SP 310 - Interdisciplinary Inquiry,3,"Apply interdisciplinary modes of inquiry to problem solving, personal assessment and career development. Employ interdisciplinary approaches to examine complex real-world problems. Explore interdisciplinary career trajectories and draft an individualized degree proposal."
SP 492W - Senior Capstone Project,3,Complete an interdisciplinary research or creative project and produce an e-Portfolio that reflects the outcomes and applications of interdisciplinary learning.
"SP 482 - Experiential Learning, Internship",1-6,Explore and gain practical experience related to educational and/or career goals. Reflect critically on experiential learning and report reflections under faculty guidance.
