title,units,description
ANTH 307 - World Heritage and Archaeology,3,Studies of diverse human values and social systems embedded in cultures of a world region through investigations in archaeology and/or cultural anthropology.
ANTH 351 - Archaeological Materials Analysis,4,"A hands-on introduction to interpreting artifacts from sites. It will cover phases of analysis including: defining problems, attributes, cataloging data, analyzing data, and interpreting results."
ANTH 352 - Experimental Archaeology,4,"Introduces students to experimental archaeology, or the scientific manner in which archaeologists engage in controlled experiments in order to better understand life in the past."
ANTH 353 - Archaeology of Warfare,4,Explore the origins/causes/consequences of warfare. We will gain an understanding of the range of variation in which warfare and human societies have influenced one another.
ANTH 354 - Cultural Resource Management,4,"Vocationally-oriented introduction to applied archaeology. Ethical, legal, and technical aspects of conserving prehistoric and historic cultural resources of the US."
ANTH 357 - Field Archaeology,1-6,"Field experience in local area or in summer field school. Content varies: surface survey, mapping, or excavation. May involve placement as volunteer with federal or state agency."
ANTH 358 - Archaeology Lab,1-3,Archaeology lab activities.
ANTH 359 - Special Topics in Archaeology,1-4,"Seminars in selected subfields (concentrations or theory): environmental archaeology, geoarchaeology, archaeoastronomy, zooarchaeology, historical archaeology, ethnohistory. Check with faculty for content."
ANTH 395 - Mesoamerican Archaeology,4,"Intensive survey of pre-Hispanic cultures of Mexico and Central America. Origins, development, and characteristics of native civilizations: Olmec, Mayan, Teotihuacan, Monte Alban, Toltec, and Aztec."
ANTH 340 - Language and Culture,4,Scope and variety of linguistic research. Emphasis on cross-cultural comparison and relation of languages to culture.
ANTH 341 - Anthropological Linguistics,4,"Introduces formal practice of anthropological linguistics. Structure of human languages; language variation and change; acquisition and meaning. Methodologies include phonetics, phonemics, morphology, and syntax."
ANTH 302 - Anthropology of Religion,3,"Examine theoretical perspectives and modes of analysis of religious and spiritual traditions with a focus on ritual, magic, and symbolic systems."
ANTH 314 - Wicked Problems of the Anthropocene,4,"Critically examines relationships between environment, health, and society with a focus on the roles of colonialism, development, and globalization. Organized around several environmental issues including climate change, water pollution and waste, energy, and disasters."
ANTH 316 - Anthropology and Development,4,Traditional cultures and their economies. How these societies have adjusted to world economy. Analyze social costs/benefits of economic development.
ANTH 317 - Gender and Development,4,"Explore how social and economic change happens, focusing on how development policies, programs and issues affect women and men, girls and boys, differently. Examine a range of gender related concerns across the developed and developing world, including: sexual/reproductive health, LGBTQIA+, formal/informal work, education, microfinance, migration, and the environment."
ANTH 329 - Selected Topics in Social Anthropology,1-4,"Seminars provide fresh anthropological perspectives on topics such as activism, art, community, environment, film, food, folklore, health, media, medicine, migration, politics."
ANTH 390 - World Regions Cultural Seminar,4,"Culture, values, and social interaction in cultures of a world region (North America, Latin America, Oceania, Asia, Africa). Analyze cultural integration, contact, change, and development in historical and contemporary contexts."
