title,units,description
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
ESM 105 - Natural Resource Conservation,3,Broad aspects; history of humanity in relation to land use; human populations in relation to resources; history of conservation movement; present day conservation problems.
FOR 130 - Dendrology,3,"US trees/shrubs. Ranges, botanical characteristics, commercial and noncommercial uses, growth rates, and relation of plants to their total environment. Identify under field conditions and using herbarium specimens."
FOR 131 - Forest Ecology,3,"Ecological principles applied to forest management. Production ecology, biogeochemistry, disturbances, environmental factors, populations, community ecology, forest succession, and forest classification/description."
FOR 210 - Forest Measurements and Biometry,4,"Surveying including angle and distance measurement, leveling and traverse. Public land survey. Topographic map reading and construction. Tree and forest measurements under field conditions. Forest sampling theory. Introductory statistical analysis of forest measurements."
FOR 222 - Forest Health and Protection,2,Biotic and abiotic disturbance agents. Identification and ecology of important forest insects and diseases of North America. Predisposing factors that increase susceptibility of forests. Management strategies to reduce impacts.
FIRE 123 - Fundamentals of Fuel and Fire,2,"An introduction to the science, ecology, and management of fuels and fire. Current issues and management options to reduce the negative impacts of wildfire."
FOR 250 - Introduction to Forest Operations,3,Overview of forest operations and environmental issues associated with today’s forest management practices. Use of mechanized equipment as a tool to meet various forest management objectives.
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
ESM 305 - Environmental Conflict Resolution,3,"Introduction to conflict theory as applied in complex natural resource disputes. Skill development in planning culturally appropriate and inclusive public participation processes, meeting facilitation, and conflict mediation. Comparison of options for nonviolent conflict management."
FOR 311 - Forest Mensuration and Growth,4,"Sampling techniques in forest inventory, timber cruising, and site index determination. Develop volume tables and predict stand growth. Use growth models and computer applications."
FOR 331 - Silvics - Foundation of Silviculture,3,"Woody plant interaction with environmental stresses. Factors influencing vigor and growth. Changes to stand structure caused by humans (thinning, harvesting, fertilization), nature (wind, soil, climate) or time. Selection using genetic principles for improved growth. Seedling production methods in stock types in relation to their effect on morphology/survival."
