title,units,description
ECON 309 - Economics of a Sustainable Society,3,Interpret meaning of sustainable economy. Techniques for measuring economic performance using sustainability standard. Analyze domestic and international policies consistent with a sustainable economy. Economics and business administration majors MUST co-enroll in ECON 309D.
ENST 420 - Energy Justice,4,Advanced seminar course drawing on the critical social sciences and humanities to understand how energy issues are central to understanding the environmental and social inequalities of our times.
GEOG 301 - International Environmental Issues and Globalization,3,"Cross-disciplinary examination of economic development, world regions, population trends, resource exploitation, sustainability, impact of resource extraction in key world locations, and increasing global environmental connectivity, integration, and interdependence.
Cross-listed with: ESM 301"
GEOG 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict and conservation. Examines social movements.
Cross-listed with: PSCI 365"
PSCI 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict, and conservation. Examines social movements and community responses to environmental change.
Cross-listed with: GEOG 365"
NAS 366 - Tribal Water Rights,4,Federal/state water laws and Indian treaties; water problems on Western reservations as classic examples.
PSCI 364 - Technology and Development,4,"Political and social role of technology in Third World development. Relation to theories and concepts, such as science, democracy and inequality, and to actors, such as women and farmers."
PSCI 373 - Politics of Sustainability,4,"Examine diverse views of concepts such as democracy, liberty, justice, and nature as a response to political challenges of sustainability and unsustainability. Role of states, technology, markets, and culture."
SOC 320 - Environmental Sociology,4,"Examines the dynamics of the “natural environment” and society. Emphasis on exploring environmental crises, theoretical perspectives on nature, climate and sustainability."
SOC 370 - Environmental Inequality and Globalization,4,Examines environmental justice and environmental inequality on a global level and their implications for communities and nation states.
ENST 123 - CCAT Practicum: Variable Topics,1,"Guided learning of appropriate technologies and permaculture systems. Project experience at Campus Center for Appropriate Technology (CCAT). Variable topics may include: green building, urban homesteading, eco-craft, and organic gardening."
SOIL 104 - Introduction to Sustainable Agriculture,3,"The course provides an understanding of the complex relationships among crop plants, domesticated animals, and their abiotic and biotic environment, and the requirements for sustainable agriculture."
ENGR 305 - Appropriate Technology,3,"Engineering technology principles. Energy, waste disposal, food production technologies. Lab exercises involve working systems at Campus Center for Appropriate Technology."
ENGR 308 - Technology and the Environment,3,Environmental and resource-related case studies applying technology to supply society’s needs and demands.
COMM 315 - Communication and Social Advocacy,4,"Study of communication strategies utilized to create and resist social change in the context of historical/contemporary social movements. Possible topics: civil rights, suffrage movement, environment, animal rights."
NAS 312W - Grant Writing for Social and Environmental Justice,4,"Mechanics of proposal writing and political/social aspects of “grantsmanship.” Focus on identifying sources of grant funding, doing research to support applications, and tailoring proposals to specific audiences. Provides broad overview of federal, state, and foundation grants aimed at program and project development for the social sciences with a focus on programs for social and environmental justice."
CRGS 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: EDUC 313"
EDUC 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: CRGS 313"
SOC 475 - Community Organizing,4,"Explores community organizing history, theory and practice. Emphasizes development of conceptual framework/ practical skills for organizing effectively in the community for social, environmental and economic justice."
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
WLDF 210 - Introduction to Wildlife Conservation and Administration,3,"History of relationship between wildlife and people, including laws and regulatory agencies. Different cultural perspectives."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
