title,units,description
BA 210 - Legal Environment of Business,4,"Judicial system, constitution, administrative agencies, torts, crimes, creation and performance of contracts, sales, consumer protection, commercial paper, and business ethics. Law case studies."
BA 250 - Financial Accounting,4,First course in accounting. Measurement and reporting principles used in US to prepare financial reports for investors/creditors. Computer applications demonstrate design of accounting information systems.
BA 252 - Management Accounting,4,"Introduction to accounting information system used for internal decision making within organizations, which include planning, operational control, and performance evaluation."
ECON 202 - Principles of Microeconomics,3,"Explore markets and how individuals and businesses make economic decisions. Topics include scarcity, supply/demand, market equilibrium, elasticity, consumer theory, production, costs, & profits under different market structures, factor markets, and market failure."
ECON 203 - Principles of Macroeconomics,3,"Analysis of the economy as a whole, including aggregate supply/demand, business cycles, GDP, inflation, unemployment, financial institutions, interest rates, monetary and fiscal policy, international trade/finance, and economic growth."
MATH 104 - Finite Mathematics,3,"Topics include linear models, systems of linear equations, linear programming with two variables, financial mathematics, sets, basic probability and an introduction to descriptive statistics."
MATH 104I - Finite Mathematics with Integrated Support,3,"Integrated support for development of quantitative reasoning through business-relevant topics including linear models, systems of linear equations, linear programming, financial mathematics, sets, basic probability and descriptive statistics. Open to students in Math placement category III or IV."
BA 322 - Business Analytics,4,"Explore basic data analytics concepts, techniques and tools used in the process of data-driven business decision-making and strategy, drawing real examples from different functional areas in business."
BA 340 - Principles of Marketing,4,"Domestic and international institutions, concepts, and management processes in marketing. Marketing research. Simulations, cases, exercises. Computer applications."
BA 360 - Principles of Finance,4,Basic skills for analyzing financial data. Time value of money; techniques and ratios commonly used in financial analysis.
BA 370 - Principles of Management,4,"Theory, behavior, production and operations, and interpersonal communication in organizations: large or small, profit or nonprofit, domestic or international."
BA 496 - Strategic Management,4,Capstone course integrating all business core courses into design of strategic business plans. Domestic/international cases. Simulations and projects. Micro/mainframe computer applications.
BA 106 - Advocating for Sustainability,3,"Provides an understanding of sustainability issues, discovering what you are passionate about and modifying behaviors regarding consumption, work, living decisions, etc. to become well-informed strong advocates for change."
BA 106D - Advocating for Sustainability - Additional Depth,1,Additional depth by analyzing sustainability initiatives/reporting in businesses.
BA 120 - Business Essentials,1,"Orientation to the Business Program. Develops a core set of skills and exposure to business functional areas: accounting, finance, management, marketing, ethics, and strategy."
BA 304 - Business Psychology,3,"Critically examines the psychological foundation of business by looking at how business agents think, feel and act in various situations and how managers make decisions."
BA 430 - Introduction to Entrepreneurship,4,"Planning, start up, sources of capital, location, form, budgeting, record keeping, marketing, management."
BA 438 - Applications in Entrepreneurship,4,Study entrepreneurial strategy and implementation using contemporary forms of business planning.
BA 439 - New Venture Consulting,4,Complete a consulting project and business plan with a new venture. Class meetings and field work each week.
BA 422 - Financial Data Analytics and Econometrics,4,"Introduction to basic data analytics concepts, techniques, and tools for financial and economic applications. It covers topics from computer programming and data analysis, econometrics, financial economics, mathematical optimization, and probability models."
ECON 310 - Intermediate Microtheory and Strategy,4,"Price determination in markets for goods, services, and resources. Utility and indifference analysis of demand. Isoquant analysis of production. Supply determination under competitive and noncompetitive conditions."
ECON 311 - Intermediate Macroeconomics,4,"Critique macroeconomic models, including macrodynamics and the microeconomic foundation of macroeconomic theory. Fiscal and monetary policy impacts on income, employment, interest rates, economic growth, inflation."
ECON 435 - Financial Institutions and Capital Markets,4,"Explore new and traditional financial markets including cryptocurrencies, stock markets, mortgage-backed securities, foreign exchange, fixed income, and money. Understand financial crises. Learn fundamentals of central bank policy and commercial bank operations."
ECON 490W - Capstone Experience,3,"Develop career planning tools and skills. Produce a portfolio that articulates proficiency of program learning outcomes, including writing. Produce a legacy project."
